data_X	mean	std
上升段撑靴压力方差	1.3707991967789683	12.89114861252936
上升段撑靴压力均值	290.4534038195064	25.339854619616474
上升段主机皮带机转速方差	0.019893122688233095	0.08829644034404814
上升段主机皮带机转速均值	2.9074578238296915	0.588574446886268
上升段推进压力方差	177.89947464232455	198.36591155523277
上升段推进压力均值	144.37784804072996	40.56671362210993
上升段总推进力方差	1162102.1032452385	1924741.371680694
上升段总推进力均值	11327.509153815361	3206.442106735377
上升段刀盘转速方差	0.0663556998183272	0.23549568743084898
上升段刀盘转速均值	6.282853582304653	0.9607379443055941
上升段刀盘功率方差	72140.52613068465	75302.15282857695
上升段刀盘功率均值	1022.1899068322981	473.98844530687546
上升段刀盘扭矩方差	147248.0802938776	147807.27565161017
上升段刀盘扭矩均值	1506.8049731873436	625.949206450984
上升段贯入度方差	3.244136282425973	9.976642116272773
上升段贯入度均值	7.220275071855548	2.9020852095859744
上升段刀盘刹车压力方差	0.07139672982455263	0.7137030807269293
上升段刀盘刹车压力均值	49.594829235088184	4.466338514219233
上升段推进位移方差	206.96672878901043	4532.58970192894
上升段推进位移均值	123.15798997910053	119.3796314615426
上升段推进速度方差	114.04651126048105	186.21026181702283
上升段推进速度均值	45.12186173690349	16.676336182622755
上升段桥架皮带机转速方差	0.0015391365899527175	0.04931870610044468
上升段桥架皮带机转速均值	2.6768767435957574	0.09649689923995072
上升段转渣皮带机转速方差	7.875728144787906e-05	0.0014258272184403925
上升段转渣皮带机转速均值	2.7504775327220186	0.018797003640033564
data_y	mean	std
T	2569.7872490414047	583.3073943100762
