tag,稳定段总推进力,稳定段刀盘扭矩,稳定段推进速度
0,15713.919738963294,2942.3926409040178,60.83314267113095
1,16015.02827653556,3013.5181143925106,67.05818797144397
2,15891.691468583776,3179.0026993988254,73.19041410405585
3,16218.161122847576,3119.3619783362565,69.30692462531887
4,16051.476142544796,3172.595803947579,69.89331471309727
5,18342.425236628605,3013.220918313051,66.58043494591347
6,17358.144308894232,2657.1632662259617,63.93757211538462
7,12261.25375400195,1370.7681789610592,32.26763358679009
8,16975.582670084634,3200.057552083333,70.482080078125
9,17423.1174140625,3066.9262646484376,65.59021875
10,16766.575891735087,2762.575387745057,58.67710078753351
11,17273.520003858026,2401.7403748312113,51.94760561342593
12,17295.50119357639,2537.5025912491733,55.471516927083336
13,16779.34071265994,2496.9934677965057,55.26619017593504
14,16851.55697699653,2486.013825141059,57.0906005859375
15,15933.31996295549,2855.3208061865776,66.19874308118081
16,12091.3748614488,1487.8546336717409,35.57291592176774
17,16497.43052969518,2079.4441658788583,47.00089018350737
18,16799.431021676937,2526.259509735824,56.35334369498239
19,15059.089776501683,2648.67708382064,62.033163653162426
20,15317.31313084512,2713.2867894973197,72.90524136062956
21,14927.561195459906,2686.083158903302,74.40782724056604
22,12017.107885835729,2418.7728257453305,75.5355154454023
23,12048.05648148148,2350.9224998191553,75.24700520833333
24,13085.434248368818,2375.6529366629466,74.93297669127747
25,13649.281194302519,2575.2047392986574,77.6689508822481
26,12966.670203914711,2336.2351409140906,69.73968263481498
27,13340.975205458604,2525.9736169592124,72.60293063869725
28,5321.30645037338,576.2750132994552,17.160675458853166
29,13020.221960819128,2406.651895234079,74.9360684481534
30,13041.91017088015,2277.7948313509482,74.32947463132022
31,12099.079240030318,2288.8483485890856,74.62384124300372
32,13826.51316205193,2469.9814906400793,71.86874569163604
33,13507.812507315075,2544.82657420412,74.7546907917837
34,13883.559202332428,2635.261088937953,74.15840480638587
35,13635.437560589644,2797.267188747434,74.5870904852874
36,6355.854731049409,1646.6572941960515,59.239263091216216
37,6158.775531147801,1110.9673747572788,61.74573179732921
38,6944.180550655242,1241.1205810546876,62.77096931703629
39,10336.629181281887,2386.218170041454,77.13864795918367
40,9608.466670568809,1674.166770766586,70.54163021244085
41,10412.783870921416,2097.5602372113394,73.52643719841453
42,12269.093665081522,2309.426210088315,74.059423828125
43,15099.4823255037,2980.382443076686,58.2402986225329
44,15777.801667944785,3085.3924088741373,62.24324194785276
45,15028.402447509765,3071.8325622558596,70.60381164550782
46,13078.94521799395,3024.1630717615926,73.87718308971775
47,14713.324863978794,3003.4478062220983,71.95343889508929
48,17472.566808363972,3106.42224001417,56.342823701746326
49,16802.940025436048,3060.8315236646076,58.392909702034885
50,15924.412806242415,3042.4877811172632,67.06639913910801
51,13349.860658001078,1968.7197168810615,43.65239678744612
52,15698.235158232868,3051.2300858086137,67.57275886342005
53,15352.713441285792,2967.770203443351,71.75992695140418
54,14177.19574991862,2706.5744756062827,71.62354024251302
55,14347.364338871048,2833.7057758074975,80.46438248826581
56,14521.02856353184,2715.693440448113,77.50303102889151
57,8833.25757798499,1792.9234662893425,77.61269321236558
58,6218.913597637515,1441.391683820912,50.270286505170866
59,8652.201073721772,1614.874078726344,47.81691689527672
60,15687.221964518229,2958.2418701171873,57.96944580078125
61,11934.418810163226,1885.9994752066475,72.2534899030413
62,10904.732403923483,1657.6922059900621,66.30390660903034
63,9273.995199161724,1535.73349867772,70.53943316605839
64,6586.613245840291,970.1307817997823,72.08297053912214
65,6036.484321467504,921.9848671339676,61.435872936565616
66,13699.91585420971,2245.002526149277,57.526815114927686
67,9996.508635692107,1662.0250001565005,48.89207575871394
68,11631.762662020597,1991.341080752286,50.98120672052557
69,13537.032543220143,2108.8460968319732,46.21205305344988
70,14721.860190480025,2488.3838500976562,50.82542309318621
71,17471.36413801115,2421.652914621573,35.677374970957246
72,15017.849861615077,3126.569765208457,47.86169375740521
73,15016.162106838474,3029.3314180448456,53.031209415584414
